ID	Type	Experiment	Plate	CommunityCombo	Treatment	Notes
1-0_1	bee	1	1	SW	MD	
1-0_2	bee	1	1	SW	MD	
1-0_3	bee	1	1	SW	MD	
1-0_4	bee	1	1	SW	MD	
1-0_5	bee	1	1	SW	MD	
1-0_6	bee	1	1	SW	MD	
1-0_7	bee	1	1	SW	MD	
1-0_8	bee	1	1	SW	MD	
1-0_9	bee	1	1	SW	MD	
1-1_1	bee	1	1	1	A1-0	
1-1_2	bee	1	1	1	A1-0	
1-1_3	bee	1	1	1	A1-0	
1-1_4	bee	1	1	1	A1-0	
1-1_5	bee	1	1	1	A1-0	
1-1_6	bee	1	1	1	A1-0	
1-1_7	bee	1	1	1	A1-0	
1-1_8	bee	1	1	1	A1-0	
1-1_9	bee	1	1	1	A1-0	
1-1_10	bee	1	1	1	A1-0	
1-2_1	bee	1	1	1	B1-0	
1-2_2	bee	1	1	1	B1-0	
1-2_3	bee	1	1	1	B1-0	
1-2_4	bee	1	1	1	B1-0	
1-2_5	bee	1	1	1	B1-0	
1-2_6	bee	1	1	1	B1-0	
1-2_7	bee	1	1	1	B1-0	
1-2_8	bee	1	1	1	B1-0	
1-2_9	bee	1	1	1	B1-0	
1-2_10	bee	1	1	1	B1-0	
1-3_1	bee	1	1	1	A1-B1	
1-3_2	bee	1	1	1	A1-B1	
1-3_3	bee	1	1	1	A1-B1	
1-3_4	bee	1	1	1	A1-B1	
1-3_5	bee	1	1	1	A1-B1	
1-3_6	bee	1	1	1	A1-B1	
1-3_7	bee	1	1	1	A1-B1	
1-3_8	bee	1	1	1	A1-B1	
1-3_9	bee	1	1	1	A1-B1	
1-3_10	bee	1	1	1	A1-B1	
1-4_1	bee	1	1	1	B1-A1	
1-4_2	bee	1	1	1	B1-A1	
1-4_3	bee	1	1	1	B1-A1	
1-4_4	bee	1	1	1	B1-A1	
1-4_5	bee	1	1	1	B1-A1	
1-4_6	bee	1	1	1	B1-A1	
1-4_7	bee	1	1	1	B1-A1	
1-4_8	bee	1	1	1	B1-A1	
1-4_9	bee	1	1	1	B1-A1	
1-4_10	bee	1	1	1	B1-A1	
1-5_1	bee	1	1	2	A2-0	
1-5_2	bee	1	1	2	A2-0	
1-5_3	bee	1	1	2	A2-0	
1-5_4	bee	1	1	2	A2-0	
1-5_5	bee	1	1	2	A2-0	
1-5_6	bee	1	1	2	A2-0	
1-5_7	bee	1	1	2	A2-0	
1-5_8	bee	1	1	2	A2-0	
1-5_9	bee	1	1	2	A2-0	
1-5_10	bee	1	1	2	A2-0	
1-6_1	bee	1	1	2	B2-0	
1-6_2	bee	1	1	2	B2-0	
1-6_3	bee	1	1	2	B2-0	
1-6_4	bee	1	1	2	B2-0	
1-6_5	bee	1	1	2	B2-0	
1-6_6	bee	1	1	2	B2-0	
1-6_7	bee	1	1	2	B2-0	
1-6_8	bee	1	1	2	B2-0	
1-6_9	bee	1	1	2	B2-0	
1-6_10	bee	1	1	2	B2-0	
1-7_1	bee	1	1	2	A2-B2	
1-7_2	bee	1	1	2	A2-B2	
1-7_3	bee	1	1	2	A2-B2	
1-7_4	bee	1	1	2	A2-B2	
1-7_5	bee	1	1	2	A2-B2	
1-7_6	bee	1	1	2	A2-B2	
1-7_7	bee	1	1	2	A2-B2	
1-7_8	bee	1	1	2	A2-B2	
1-7_9	bee	1	1	2	A2-B2	
1-7_10	bee	1	1	2	A2-B2	
eb-1	blank	1	1	SW	extraction_blank	
1-8_1	bee	1	2	2	B2-A2	
1-8_2	bee	1	2	2	B2-A2	
1-8_3	bee	1	2	2	B2-A2	
1-8_4	bee	1	2	2	B2-A2	
1-8_5	bee	1	2	2	B2-A2	
1-8_6	bee	1	2	2	B2-A2	
1-8_7	bee	1	2	2	B2-A2	
1-8_8	bee	1	2	2	B2-A2	
1-8_9	bee	1	2	2	B2-A2	
1-9_1	bee	1	2	3	A3-0	
1-9_2	bee	1	2	3	A3-0	
1-9_3	bee	1	2	3	A3-0	
1-9_4	bee	1	2	3	A3-0	
1-9_5	bee	1	2	3	A3-0	
1-9_6	bee	1	2	3	A3-0	
1-9_7	bee	1	2	3	A3-0	
1-9_8	bee	1	2	3	A3-0	
1-9_9	bee	1	2	3	A3-0	
1-9_10	bee	1	2	3	A3-0	
1-10_1	bee	1	2	3	B3-0	
1-10_2	bee	1	2	3	B3-0	
1-10_3	bee	1	2	3	B3-0	
1-10_4	bee	1	2	3	B3-0	
1-10_5	bee	1	2	3	B3-0	
1-10_6	bee	1	2	3	B3-0	
1-10_7	bee	1	2	3	B3-0	
1-10_8	bee	1	2	3	B3-0	
1-10_9	bee	1	2	3	B3-0	
1-10_10	bee	1	2	3	B3-0	
1-11_1	bee	1	2	3	A3-B3	
1-11_2	bee	1	2	3	A3-B3	
1-11_3	bee	1	2	3	A3-B3	
1-11_4	bee	1	2	3	A3-B3	
1-11_5	bee	1	2	3	A3-B3	
1-11_6	bee	1	2	3	A3-B3	
1-11_7	bee	1	2	3	A3-B3	
1-11_8	bee	1	2	3	A3-B3	
1-12_1	bee	1	2	3	B3-A3	
1-12_2	bee	1	2	3	B3-A3	
1-12_3	bee	1	2	3	B3-A3	
1-12_4	bee	1	2	3	B3-A3	
1-12_5	bee	1	2	3	B3-A3	
1-12_6	bee	1	2	3	B3-A3	
1-12_7	bee	1	2	3	B3-A3	
1-12_8	bee	1	2	3	B3-A3	
1-12_9	bee	1	2	3	B3-A3	
1-12_10	bee	1	2	3	B3-A3	
eb-2	blank	1	2	SW	extraction_blank	
1-s0	aliquot	1	2	SW	SW	sugar water fed on day 0
1-s3	aliquot	1	2	SW	SW	sugar water used on day 3 for making dilutions of cultures to innoculate
a1-0	bacteria	1	2	1	A1	165 uL aliquot of what was fed to bees (5 uL fed)
a1-3	bacteria	1	2	1	A1	165 uL aliquot of what was fed to bees (5 uL fed)
a2-0	bacteria	1	2	2	A2	165 uL aliquot of what was fed to bees (5 uL fed)
a2-3	bacteria	1	2	2	A2	165 uL aliquot of what was fed to bees (5 uL fed)
a3-0	bacteria	1	2	3	A3	165 uL aliquot of what was fed to bees (5 uL fed)
a3-3	bacteria	1	2	3	A3	165 uL aliquot of what was fed to bees (5 uL fed)
b1-0	bacteria	1	2	1	B1	165 uL aliquot of what was fed to bees (5 uL fed)
b1-3	bacteria	1	2	1	B1	165 uL aliquot of what was fed to bees (5 uL fed)
b2-0	bacteria	1	2	2	B2	165 uL aliquot of what was fed to bees (5 uL fed)
b2-3	bacteria	1	2	2	B2	165 uL aliquot of what was fed to bees (5 uL fed)
b3-0	bacteria	1	2	3	B3	165 uL aliquot of what was fed to bees (5 uL fed)
b3-3	bacteria	1	2	3	B3	165 uL aliquot of what was fed to bees (5 uL fed)
2-0_1	bee	2	3	SW	MD	
2-0_2	bee	2	3	SW	MD	
2-0_3	bee	2	3	SW	MD	
2-0_4	bee	2	3	SW	MD	
2-0_5	bee	2	3	SW	MD	
2-0_6	bee	2	3	SW	MD	
2-0_7	bee	2	3	SW	MD	
2-0_8	bee	2	3	SW	MD	
2-0_9	bee	2	3	SW	MD	
2-0_10	bee	2	3	SW	MD	
2-1_1	bee	2	3	4	A4-0	
2-1_2	bee	2	3	4	A4-0	
2-1_3	bee	2	3	4	A4-0	
2-1_4	bee	2	3	4	A4-0	
2-1_5	bee	2	3	4	A4-0	
2-1_6	bee	2	3	4	A4-0	
2-1_7	bee	2	3	4	A4-0	
2-1_8	bee	2	3	4	A4-0	
2-1_9	bee	2	3	4	A4-0	
2-2_1	bee	2	3	4	B4-0	
2-2_2	bee	2	3	4	B4-0	
2-2_3	bee	2	3	4	B4-0	
2-2_4	bee	2	3	4	B4-0	
2-2_5	bee	2	3	4	B4-0	
2-2_6	bee	2	3	4	B4-0	
2-2_7	bee	2	3	4	B4-0	
2-2_8	bee	2	3	4	B4-0	
2-2_9	bee	2	3	4	B4-0	
2-2_10	bee	2	3	4	B4-0	
2-3_1	bee	2	3	4	A4-B4	
2-3_2	bee	2	3	4	A4-B4	
2-3_3	bee	2	3	4	A4-B4	
2-3_4	bee	2	3	4	A4-B4	
2-3_5	bee	2	3	4	A4-B4	
2-3_6	bee	2	3	4	A4-B4	
2-3_7	bee	2	3	4	A4-B4	
2-3_8	bee	2	3	4	A4-B4	
2-3_9	bee	2	3	4	A4-B4	
2-3_10	bee	2	3	4	A4-B4	
2-4_1	bee	2	3	4	B4-A4	
2-4_2	bee	2	3	4	B4-A4	
2-4_3	bee	2	3	4	B4-A4	
2-4_4	bee	2	3	4	B4-A4	
2-4_5	bee	2	3	4	B4-A4	
2-4_6	bee	2	3	4	B4-A4	
2-4_7	bee	2	3	4	B4-A4	
2-4_8	bee	2	3	4	B4-A4	
2-4_9	bee	2	3	4	B4-A4	
2-4_10	bee	2	3	4	B4-A4	
2-5_1	bee	2	3	5	A5-0	
2-5_2	bee	2	3	5	A5-0	
2-5_3	bee	2	3	5	A5-0	
2-5_4	bee	2	3	5	A5-0	
2-5_5	bee	2	3	5	A5-0	
2-5_6	bee	2	3	5	A5-0	
2-5_7	bee	2	3	5	A5-0	
2-6_1	bee	2	3	5	B5-0	
2-6_2	bee	2	3	5	B5-0	
2-6_3	bee	2	3	5	B5-0	
2-6_4	bee	2	3	5	B5-0	
2-6_5	bee	2	3	5	B5-0	
2-6_6	bee	2	3	5	B5-0	
2-6_7	bee	2	3	5	B5-0	
2-6_8	bee	2	3	5	B5-0	
2-7_1	bee	2	3	5	A5-B5	
2-7_2	bee	2	3	5	A5-B5	
2-7_3	bee	2	3	5	A5-B5	
2-7_4	bee	2	3	5	A5-B5	
2-7_5	bee	2	3	5	A5-B5	
2-7_6	bee	2	3	5	A5-B5	
2-7_7	bee	2	3	5	A5-B5	
2-7_8	bee	2	3	5	A5-B5	
2-7_9	bee	2	3	5	A5-B5	
eb-3	bee	2	3	SW	extraction_blank	
2-8_1	bee	2	4	5	B5-A5	
2-8_2	bee	2	4	5	B5-A5	
2-8_3	bee	2	4	5	B5-A5	
2-8_4	bee	2	4	5	B5-A5	
2-8_5	bee	2	4	5	B5-A5	
2-8_6	bee	2	4	5	B5-A5	
2-8_7	bee	2	4	5	B5-A5	
2-8_8	bee	2	4	5	B5-A5	
2-8_9	bee	2	4	5	B5-A5	
2-9_1	bee	2	4	6	A6-0	
2-9_2	bee	2	4	6	A6-0	
2-9_3	bee	2	4	6	A6-0	
2-9_4	bee	2	4	6	A6-0	
2-9_5	bee	2	4	6	A6-0	
2-9_6	bee	2	4	6	A6-0	
2-9_7	bee	2	4	6	A6-0	
2-9_8	bee	2	4	6	A6-0	
2-10_1	bee	2	4	6	B6-0	
2-10_2	bee	2	4	6	B6-0	
2-10_3	bee	2	4	6	B6-0	
2-10_4	bee	2	4	6	B6-0	
2-10_5	bee	2	4	6	B6-0	
2-10_6	bee	2	4	6	B6-0	
2-10_7	bee	2	4	6	B6-0	
2-10_8	bee	2	4	6	B6-0	
2-10_9	bee	2	4	6	B6-0	
2-10_10	bee	2	4	6	B6-0	
2-11_1	bee	2	4	6	A6-B6	
2-11_2	bee	2	4	6	A6-B6	
2-11_3	bee	2	4	6	A6-B6	
2-11_4	bee	2	4	6	A6-B6	
2-11_5	bee	2	4	6	A6-B6	
2-11_6	bee	2	4	6	A6-B6	
2-11_7	bee	2	4	6	A6-B6	
2-11_8	bee	2	4	6	A6-B6	
2-11_9	bee	2	4	6	A6-B6	
2-11_10	bee	2	4	6	A6-B6	
2-12_1	bee	2	4	6	B6-A6	
2-12_2	bee	2	4	6	B6-A6	
2-12_3	bee	2	4	6	B6-A6	
2-12_4	bee	2	4	6	B6-A6	
2-12_5	bee	2	4	6	B6-A6	
2-12_6	bee	2	4	6	B6-A6	
2-12_7	bee	2	4	6	B6-A6	
2-12_8	bee	2	4	6	B6-A6	
2-12_9	bee	2	4	6	B6-A6	
a4-0	bacteria	2	4	4	A4	165 uL aliquot of what was fed to bees (5 uL fed)
a4-3	bacteria	2	4	4	A4	165 uL aliquot of what was fed to bees (5 uL fed)
a5-0	bacteria	2	4	5	A5	165 uL aliquot of what was fed to bees (5 uL fed)
a5-3	bacteria	2	4	5	A5	165 uL aliquot of what was fed to bees (5 uL fed)
a6-0	bacteria	2	4	6	A6	165 uL aliquot of what was fed to bees (5 uL fed)
a6-3	bacteria	2	4	6	A6	165 uL aliquot of what was fed to bees (5 uL fed)
b4-0	bacteria	2	4	4	B4	165 uL aliquot of what was fed to bees (5 uL fed)
b4-3	bacteria	2	4	4	B4	165 uL aliquot of what was fed to bees (5 uL fed)
b5-0	bacteria	2	4	5	B5	165 uL aliquot of what was fed to bees (5 uL fed)
b5-3	bacteria	2	4	5	B5	165 uL aliquot of what was fed to bees (5 uL fed)
b6-0	bacteria	2	4	6	B6	165 uL aliquot of what was fed to bees (5 uL fed)
b6-3	bacteria	2	4	6	B6	165 uL aliquot of what was fed to bees (5 uL fed)
eb-4	blank	2	4	SW	extraction_blank	
3-0_1	bee	3	5	SW	MD	
3-0_2	bee	3	5	SW	MD	
3-0_3	bee	3	5	SW	MD	
3-0_4	bee	3	5	SW	MD	
3-0_5	bee	3	5	SW	MD	
3-0_6	bee	3	5	SW	MD	
3-0_7	bee	3	5	SW	MD	
3-0_8	bee	3	5	SW	MD	
3-0_9	bee	3	5	SW	MD	
3-1_1	bee	3	5	1	A1-0	
3-1_2	bee	3	5	1	A1-0	
3-1_3	bee	3	5	1	A1-0	
3-1_4	bee	3	5	1	A1-0	
3-1_5	bee	3	5	1	A1-0	
3-1_6	bee	3	5	1	A1-0	
3-1_7	bee	3	5	1	A1-0	
3-1_8	bee	3	5	1	A1-0	
3-1_9	bee	3	5	1	A1-0	
3-1_10	bee	3	5	1	A1-0	
3-2_1	bee	3	5	1	B1-0	
3-2_2	bee	3	5	1	B1-0	
3-2_3	bee	3	5	1	B1-0	
3-2_4	bee	3	5	1	B1-0	
3-2_5	bee	3	5	1	B1-0	
3-2_6	bee	3	5	1	B1-0	
3-2_7	bee	3	5	1	B1-0	
3-2_8	bee	3	5	1	B1-0	
3-2_9	bee	3	5	1	B1-0	
3-3_1	bee	3	5	1	A1-B1	
3-3_2	bee	3	5	1	A1-B1	
3-3_3	bee	3	5	1	A1-B1	
3-3_4	bee	3	5	1	A1-B1	
3-3_5	bee	3	5	1	A1-B1	
3-3_6	bee	3	5	1	A1-B1	
3-3_7	bee	3	5	1	A1-B1	
3-3_8	bee	3	5	1	A1-B1	
3-3_9	bee	3	5	1	A1-B1	
3-4_1	bee	3	5	1	B1-A1	
3-4_2	bee	3	5	1	B1-A1	
3-4_3	bee	3	5	1	B1-A1	
3-4_4	bee	3	5	1	B1-A1	
3-4_5	bee	3	5	1	B1-A1	
3-4_6	bee	3	5	1	B1-A1	
3-4_7	bee	3	5	1	B1-A1	
3-4_8	bee	3	5	1	B1-A1	
3-4_9	bee	3	5	1	B1-A1	
3-4_10	bee	3	5	1	B1-A1	
3-5_1	bee	3	5	m1	Am1-B1	
3-5_2	bee	3	5	m1	Am1-B1	
3-5_3	bee	3	5	m1	Am1-B1	
3-5_4	bee	3	5	m1	Am1-B1	
3-5_5	bee	3	5	m1	Am1-B1	
3-5_6	bee	3	5	m1	Am1-B1	
3-5_7	bee	3	5	m1	Am1-B1	
3-5_8	bee	3	5	m1	Am1-B1	
3-5_9	bee	3	5	m1	Am1-B1	
3-5_10	bee	3	5	m1	Am1-B1	
3-6_1	bee	3	5	m1	Bm1-A1	
3-6_2	bee	3	5	m1	Bm1-A1	
3-6_3	bee	3	5	m1	Bm1-A1	
3-6_4	bee	3	5	m1	Bm1-A1	
3-6_5	bee	3	5	m1	Bm1-A1	
3-6_6	bee	3	5	m1	Bm1-A1	
3-6_7	bee	3	5	m1	Bm1-A1	
3-6_8	bee	3	5	m1	Bm1-A1	
3-6_9	bee	3	5	m1	Bm1-A1	
3-6_10	bee	3	5	m1	Bm1-A1	
3-7_1	bee	3	5	m4	Am4-B1	
3-7_2	bee	3	5	m4	Am4-B1	
3-7_3	bee	3	5	m4	Am4-B1	
3-7_4	bee	3	5	m4	Am4-B1	
3-7_5	bee	3	5	m4	Am4-B1	
3-7_6	bee	3	5	m4	Am4-B1	
3-7_7	bee	3	5	m4	Am4-B1	
3-7_8	bee	3	5	m4	Am4-B1	
3-7_9	bee	3	5	m4	Am4-B1	
eb-5	blank	3	5	SW	extraction_blank	
3-8_1	bee	3	6	m4	Bm4-A1	
3-8_2	bee	3	6	m4	Bm4-A1	
3-8_3	bee	3	6	m4	Bm4-A1	
3-8_4	bee	3	6	m4	Bm4-A1	
3-8_5	bee	3	6	m4	Bm4-A1	
3-8_6	bee	3	6	m4	Bm4-A1	
3-8_7	bee	3	6	m4	Bm4-A1	
3-8_8	bee	3	6	m4	Bm4-A1	
3-8_9	bee	3	6	m4	Bm4-A1	
3-9_1	bee	3	6	m6	Am6-B1	
3-9_2	bee	3	6	m6	Am6-B1	
3-9_3	bee	3	6	m6	Am6-B1	
3-9_4	bee	3	6	m6	Am6-B1	
3-9_5	bee	3	6	m6	Am6-B1	
3-9_6	bee	3	6	m6	Am6-B1	
3-9_7	bee	3	6	m6	Am6-B1	
3-9_8	bee	3	6	m6	Am6-B1	
3-9_9	bee	3	6	m6	Am6-B1	
3-9_10	bee	3	6	m6	Am6-B1	
3-10_1	bee	3	6	m6	Bm6-A1	
3-10_2	bee	3	6	m6	Bm6-A1	
3-10_3	bee	3	6	m6	Bm6-A1	
3-10_4	bee	3	6	m6	Bm6-A1	
3-10_5	bee	3	6	m6	Bm6-A1	
3-10_6	bee	3	6	m6	Bm6-A1	
3-10_7	bee	3	6	m6	Bm6-A1	
3-10_8	bee	3	6	m6	Bm6-A1	
3-11_1	bee	3	6	m7	Am7-B1	
3-11_2	bee	3	6	m7	Am7-B1	
3-11_3	bee	3	6	m7	Am7-B1	
3-11_4	bee	3	6	m7	Am7-B1	
3-11_5	bee	3	6	m7	Am7-B1	
3-11_6	bee	3	6	m7	Am7-B1	
3-11_7	bee	3	6	m7	Am7-B1	
3-11_8	bee	3	6	m7	Am7-B1	
3-11_9	bee	3	6	m7	Am7-B1	
3-11_10	bee	3	6	m7	Am7-B1	
3-12_1	bee	3	6	m7	Bm7-A1	
3-12_2	bee	3	6	m7	Bm7-A1	
3-12_3	bee	3	6	m7	Bm7-A1	
3-12_4	bee	3	6	m7	Bm7-A1	
3-12_5	bee	3	6	m7	Bm7-A1	
3-12_6	bee	3	6	m7	Bm7-A1	
am1	bacteria	3	6	m1	dropout_community	
am4	bacteria	3	6	m4	dropout_community	
am6	bacteria	3	6	m6	dropout_community	
am7	bacteria	3	6	m7	dropout_community	
bm1	bacteria	3	6	m1	dropout_community	
bm4	bacteria	3	6	m4	dropout_community	
bm6	bacteria	3	6	m6	dropout_community	
bm7	bacteria	3	6	m7	dropout_community	
am2	bacteria	none	6	m2	dropout_community	
am3	bacteria	none	6	m3	dropout_community	
am5	bacteria	none	6	m5	dropout_community	
am8	bacteria	none	6	m8	dropout_community	
am9	bacteria	none	6	m9	dropout_community	
am10	bacteria	none	6	m10	dropout_community	
bm2	bacteria	none	6	m2	dropout_community	
bm3	bacteria	none	6	m3	dropout_community	
bm5	bacteria	none	6	m5	dropout_community	
bm8	bacteria	none	6	m8	dropout_community	
bm9	bacteria	none	6	m9	dropout_community	
bm10	bacteria	none	6	m10	dropout_community	
eb-6	blank	3	6	SW	extraction_blank	
3s-0	aliquot	3	6	SW	MD	
3s-3	aliquot	3	6	SW	MD	
3a-0	bacteria	3	6	1	A1	
3b-0	bacteria	3	6	1	B1	
3a-3	bacteria	3	6	1	A1	
3b-3	bacteria	3	6	1	B1	